Species,CommonName,Description
Cirrhinus cirrhosus,Mrigal carp,Mrigal is a South Asian riverine detritivore/herbivore widely farmed in polyculture. It spawns on floodplains during monsoon rises. Wild stocks declined from damming and overharvest.
Channa marulius,Great snakehead,"The great snakehead is a top predator of South Asian rivers and reservoirs. It feeds on fish, frogs, and crustaceans; pairs guard floating nests. It is valued as food but susceptible to habitat loss."
Parachromis dovii,Guapote,"Wolf cichlid of Central America inhabits rocky rivers and crater lakes. A large, aggressive piscivore with notable parental care. Overfishing and sedimentation threaten some native populations."
Bagrus meridionalis,Kampoyo,The kampango catfish of Lake Malawi is a nocturnal piscivore/invertivore. It nests in caves and provides male parental care. Artisanal fisheries target it; overfishing is a concern.
Chitala ornata,Clown featherback,"Clown featherback inhabits floodplains of the Mekong-Chao Phraya; introduced elsewhere. Nocturnal, it preys on fish and prawns; builds nests on submerged structures. Popular in aquaria and fisheries."
Pterodoras granulosus,Granulated catfish,"A large thorny catfish of the Paraná-Paraguay draining; forms migratory shoals. Omnivorous, it consumes fruits, detritus, and invertebrates. Commercially important but vulnerable to hydrological alteration."
Piaractus mesopotamicus,Pacu,Pacu of the Paraná basin is a frugivore/omnivore that disperses riparian seeds. Fast growth and mild flesh make it a major aquaculture species. Dams disrupt floodplain feeding migrations.
Ameiurus catus,White catfish,"White catfish of Atlantic slope rivers tolerates brackish estuaries. Nocturnal omnivore, spawning in cavities with parental guarding. Introduced in the U.S. West where it can impact natives."
Labeo calbasu,Orangefin labeo,"Black rohu inhabits large South Asian rivers, grazing periphyton and detritus. It matures late and is important in aquaculture. Habitat fragmentation and overfishing reduce wild recruitment."
Acipenser ruthenus,Sterlet sturgeon,The sterlet is a small sturgeon of large Eurasian rivers; some forms are potamodromous. It feeds on benthos and spawns on clean gravel at high flows. Overfishing and dams have necessitated hatchery support.
Siniperca chuatsi,Mandarin fish,The mandarin fish is an apex freshwater predator in East Asia that feeds almost exclusively on live fish. Culturally and economically important in Chinese aquaculture. Habitat degradation and overharvest affect wild stocks.
Lates microlepis,Forktail lates,"The kongolo is a deepwater Tanganyika lates preying on clupeids and cichlids. It is long-lived and late-maturing, traits that heighten vulnerability to overfishing."
Leuciscus aspius,Asp,"Asp is a fast, predatory cyprinid of large European rivers and reservoirs. It hunts in open water on bleak and other small fish. Damming created reservoir habitats that aided expansion in some basins."
Sander vitreus,Walleye,"Walleye of North America favors large lakes and turbid rivers, spawning over clean rubble. Crepuscular predators, they rely on sensitive vision. Fisheries management uses size/slot limits to sustain stocks."
Cirrhinus molitorella,Mud carp,Mud carp from South China rivers is a detritivore/herbivore widely cultured. It tolerates low oxygen and turbid canals. Wild populations face urbanization and flow alteration.
Leiarius marmoratus,,Zebra shovelnose catfish from Amazon-Orinoco inhabits deep channels and flooded forests. A nocturnal piscivore/invertivore that reaches large sizes. Overfishing and damming pressure migratory routes.
Micropterus salmoides,Largemouth black bass,"Largemouth bass is a premier sport fish native to the SE U.S., introduced worldwide. Ambush predator in vegetated lakes and slow rivers, with nest-guarding males. Stocking has ecological side-effects on native communities."
Lepisosteus platostomus,Shortnose gar,"Shortnose gar is an ancient, air-breathing ambush predator of Mississippi basin backwaters. It tolerates hypoxia and turbidity, feeding on fish and crayfish. Channelization reduced floodplain habitats."
Oncorhynchus keta,Chum salmon,Chum salmon spawn in large lowland rivers; juveniles migrate to sea quickly. Adults feed on pelagic invertebrates and fish; runs support subsistence fisheries. Sensitive to estuarine habitat quality and marine heatwaves.
Esox reichertii,Amur pike,The Amur pike is a piscivore of the Amur basin’s clear lakes and rivers. It resembles northern pike but with distinct spotting; requires vegetated spawning grounds. Habitat alteration and hybridization risks are noted locally.
Anguilla marmorata,Giant mottled eel,Giant mottled eel ranges widely across the Indo-Pacific; highly migratory and catadromous. Juveniles colonize tropical islands far from spawning sites. Overfishing of glass eels and barriers jeopardize stocks.
Lepisosteus oculatus,Spotted gar,"Spotted gar inhabits vegetated backwaters and oxbows in eastern North America. A stealth predator on fish and crayfish, it spawns on flooded vegetation in spring. Wetland loss has fragmented populations."
Cichla temensis,Speckled pavon,Speckled peacock bass is an Amazonian top piscivore of oxbow lakes and slow rivers. Exhibits striking breeding coloration and biparental care. Overfishing for trophy angling and water-level alteration affect recruitment.
Oxydoras niger,Ripsaw catfish,"The ripsaw catfish is a massive, armored detritivore/picker of flooded forests. It ingests periphyton, fruits, and invertebrates, migrating with rising waters. Heavily targeted in ornamental and food trades."
Piaractus brachypomus,Pirapitinga,"Tambaqui is a frugivore/omnivore of Amazon-Orinoco floodplains, dispersing tree seeds. It’s a major aquaculture species and important to riverine fisheries. Dams and overharvest reduce wild spawning runs."
Sorubimichthys planiceps,Firewood catfish,"The planiceps sorubim is a large sand-dwelling, nocturnal catfish of big Amazonian channels. Piscivorous, it uses a flattened head to ambush prey. Migratory behavior makes it susceptible to river regulation."
Lota lota,Burbot,"Burbot is the only freshwater cod, thriving in cold lakes and rivers of the Holarctic. It spawns under ice, feeding on benthos and fish; juveniles are insectivorous. Warm winters and eutrophication reduce suitability."
Salvelinus confluentus,Bull trout,"Bull trout require cold, clean, connected habitats; many populations are migratory. They prey on fish and invertebrates and spawn in groundwater-fed gravels. Listed as threatened in the U.S. due to warming and fragmentation."
Salmo trutta,Sea trout,"Brown trout includes resident and anadromous forms across Europe and introduced globally. Highly plastic in habitat use and diet, it’s a major sport fish. Stocking and invasive behavior can threaten native faunas."
Oncorhynchus kisutch,Coho salmon,"Coho Salmon rear in cool forested streams for a year, then migrate to sea. Adults home to spawn in small tributaries with complex wood and gravel. Culverts and riparian loss limit production."
Anguilla dieffenbachii,New Zealand longfin eel,"New Zealand longfin eel is long-lived (often >50 years) and potamodromous as adults, catadromous overall. It’s an apex freshwater predator; females grow largest. Declines stem from barriers, harvest, and wetland loss."
Macquaria ambigua,Golden perch,"Golden perch (Australia) is a long-lived, floodplain-spawning predator. Recruitment pulses follow large river floods; flow regulation has altered life cycles. Large-scale environmental flow programs target recovery."
Chitala blanci,Indochina featherback,"Mekong featherback inhabits deep pools and floodplains, preying on fish and crustaceans. It’s important in regional fisheries but declines with dam development."
Protopterus aethiopicus,Marbled lungfish,"The African lungfish inhabits floodplains and swamps, estivating in dry seasons within mucous cocoons. An omnivore with crushing teeth plates, it feeds on snails, fish, and plant matter. Wetland drainage threatens local populations."
Channa micropeltes,Indonesian snakehead,"Giant snakehead is a fast-growing apex predator of SE Asia; pairs guard fry. Widely fished and introduced, it can restructure communities. Reservoir stocking boosts fisheries but risks invasions."
Salvelinus alpinus,Arctic char,"Arctic char displays extreme life-history diversity from anadromy to lake residency. It occupies cold oligotrophic waters and feeds on zooplankton, benthos, and fish. Climate warming is shrinking thermal habitat."
Tor khudree,Deccan mahseer,"The Deccan mahseer is a large, migratory cyprinid of peninsular India rivers. It requires clean, fast runs for spawning and deep pools for adults. Dams and sand mining have driven declines; ranching projects exist."
Esox lucius,Northern pike,"Northern pike is a widespread ambush predator of vegetated lakes and slow rivers. Spring spawner over flooded vegetation, with cannibalistic tendencies. It’s a key sport fish and top-down regulator of prey fish."
Oncorhynchus clarkii,Cutthroat trout,"Cutthroat trout comprises many subspecies of western North America. Typically insectivorous in streams, lake forms become piscivorous; requires cold, complex habitats. Hybridization with rainbow trout is a major threat."
Ictalurus punctatus,Channel catfish,"Channel catfish tolerates warm, turbid rivers and reservoirs; nocturnal omnivore and cavity spawner. It underpins major aquaculture and sport fisheries. Stocking and habitat modifications expanded its range."
Sander lucioperca,Pike-perch,"European pikeperch occupies large turbid rivers and lakes, hunting by vision in low light. It spawns in shallow nests guarded by males. Eutrophication and reservoir creation aided expansions in Europe."
Oncorhynchus mykiss,Rainbow trout,"Rainbow/steelhead is ecologically versatile; anadromous forms rear in rivers 1-3 years before ocean growth. It thrives in cool, well-oxygenated waters; hatchery stocking is widespread. Habitat connectivity and temperature govern persistence."
Stenodus leucichthys,Sheefish,"Inconnu (nelma complex) are large, migratory whitefishes of Arctic basins. Piscivorous adults migrate long distances to spawn. Dams and climate shifts threaten connectivity."
Potamotrygon motoro,South American freshwater stingray,"The ocellate river stingray inhabits Amazon-Paraná soft bottoms. It preys on benthos (crustaceans, mollusks) and is viviparous with matrotrophy. Overharvest for ornamental trade and bycatch are concerns."
Salminus brasiliensis,Dorado,Dorado is a powerful migratory predator of the Paraná-Uruguay basins. It undertakes long spawning runs and is a premier sport fish. Dams disrupt migrations; protected free-flowing reaches are critical.
Ctenopharyngodon idella,Grass carp,"Grass carp is a large herbivore used globally for macrophyte control. Highly fecund, with drifting eggs requiring long, warm rivers. Escapes can alter vegetation and habitats if unmanaged."
Pangasianodon hypophthalmus,Striped catfish,Striped catfish of Mekong-Chao Phraya is a fast-growing omnivore and major aquaculture staple (pangasius). Wild fish migrate with monsoon hydrology; dams threaten recruitment. Farming raises sustainability concerns but supports protein supply.
Clarias fuscus,Hong Kong catfish,"A walking catfish from East Asia, up to 50 cm. Air-breathing and hardy."
Labeobarbus kimberleyensis,Largemouth yellowfish,"Endemic to South Africa, up to 90 cm. Prefers rocky, fast-flowing rivers."
